learning_rate,beta_1,beta_2,epsilon,accuracy
0.0001,0.71,0.89,8e-07,0.9252136945724487
0.0002,0.85,0.65,5e-07,0.9294871687889099
0.0006,0.9,0.9,5e-07,0.9166666865348816
0.0004,0.67,0.87,4e-07,0.9230769276618958
0.0006,0.67,0.8,8e-07,0.8846153616905212
0.0004,0.97,0.52,6e-07,0.4594016969203949
0.0007,0.62,0.67,4e-07,0.9188033938407898
0.0006,0.67,0.76,8e-07,0.9316239356994629
0.0003,0.55,0.98,7e-07,0.9145299196243286
0.0003,0.93,0.6,8e-07,0.5085470080375671
0.0004,0.82,0.51,7e-07,0.8653846383094788
0.0003,0.82,0.71,1e-07,0.938034176826477
0.0001,0.65,0.85,1e-07,0.9487179517745972
0.0006,0.89,0.68,4e-07,0.6047008633613586
0.0007,0.72,0.87,6e-07,0.9017093777656555
0.0005,0.59,0.97,9e-07,0.8183760643005371
0.0007,0.63,0.73,2e-07,0.9273504018783569
0.0002,0.68,0.65,6e-07,0.9465811848640442
0.0004,0.68,0.55,1e-07,0.9316239356994629
0.0003,0.57,0.84,7e-07,0.9487179517745972
0.0001,0.91,0.6,2e-07,0.9294871687889099
0.0008,0.69,0.74,8e-07,0.9230769276618958
0.0003,0.56,0.51,8e-07,0.9252136945724487
0.0004,0.72,0.51,5e-07,0.8995726704597473
0.0002,0.66,0.82,8e-07,0.938034176826477
0.0001,0.58,0.92,6e-07,0.9444444179534912
0.0005,0.58,0.74,2e-07,0.942307710647583
0.0005,0.92,0.72,8e-07,0.5918803215026855
0.0006,0.63,0.75,3e-07,0.9145299196243286
0.0007,0.91,0.54,3e-07,0.4594016969203949
0.0007,0.67,0.74,4e-07,0.9123931527137756
0.0006,0.75,0.83,1e-07,0.9188033938407898
0.0009,0.62,0.73,7e-07,0.8739316463470459
0.0002,0.63,0.91,2e-07,0.9337607026100159
0.0004,0.73,0.92,9e-07,0.9145299196243286
0.0007,0.76,0.71,8e-07,0.9102563858032227
0.0006,0.66,0.92,5e-07,0.6773504018783569
0.0002,0.76,0.77,6e-07,0.9358974099159241
0.0003,0.61,0.85,1e-07,0.9294871687889099
0.0008,0.61,0.64,8e-07,0.8995726704597473
0.0008,0.66,0.73,8e-07,0.8995726704597473
0.0004,0.94,0.97,5e-07,0.9145299196243286
0.0001,0.93,0.7,1e-07,0.9166666865348816
0.0007,0.54,0.51,5e-07,0.882478654384613
0.0008,0.81,0.68,9e-07,0.8888888955116272
0.0006,0.94,0.51,7e-07,0.4594016969203949
0.0001,0.75,0.64,9e-07,0.9508547186851501
0.0008,0.75,0.75,9e-07,0.9123931527137756
0.0008,0.64,0.71,8e-07,0.9038461446762085
0.0003,0.82,0.83,5e-07,0.9615384340286255
0.0005,0.83,0.86,8e-07,0.9145299196243286
0.0007,0.79,0.64,2e-07,0.9209401607513428
0.0003,0.67,0.54,4e-07,0.9294871687889099
0.0006,0.82,0.7,5e-07,0.4594016969203949
0.0002,0.88,0.94,2e-07,0.9316239356994629
0.0008,0.83,0.61,3e-07,0.5769230723381042
0.0008,0.61,0.62,7e-07,0.9166666865348816
0.0008,0.78,0.78,5e-07,0.942307710647583
0.0004,0.74,0.74,3e-07,0.942307710647583
0.0006,0.61,0.89,2e-07,0.9166666865348816
0.0008,0.94,0.91,6e-07,0.8717948794364929
0.0004,0.81,0.8,5e-07,0.9316239356994629
0.0002,0.89,0.83,8e-07,0.942307710647583
0.0005,0.71,0.95,4e-07,0.9252136945724487
0.0007,0.72,0.55,4e-07,0.4594016969203949
0.0007,0.81,0.7,5e-07,0.9102563858032227
0.0006,0.85,0.77,5e-07,0.9102563858032227
0.0008,0.63,0.71,8e-07,0.8589743375778198
0.0002,0.92,0.57,3e-07,0.5961538553237915
